,dire,high,kcnt,low,parting,turn
2015-07-09,up,8.559,1.0,7.004,B,1.0
2015-07-10,up,9.415,2,8.578,N,0.0
2015-07-13,up,10.359,3,9.828,N,0.0
2015-07-14,up,11.333,4,9.985,T,1.0
2015-07-15,down,10.438,2,9.552,N,0.0
2015-07-16,down,10.29,3,8.657,B,1.0
2015-07-20,up,10.723,2,9.936,N,0.0
2015-07-21,up,11.294,3,9.985,N,0.0
2015-07-22,up,11.894,4,10.723,N,0.0
2015-07-23,up,12.12,5,11.51,N,0.0
2015-07-24,up,12.199,6,11.608,T,1.0
2015-07-27,down,12.159,2,10.713,B,1.0
2015-07-29,up,13.458,2,11.845,N,0.0
2015-07-30,up,14.402,3,12.986,N,0.0
2015-07-31,up,15.839,4,14.029,N,0.0
2015-08-03,up,16.616,5,14.599,N,0.0
2015-08-04,up,17.019,6,15.75,T,1.0
2015-08-06,down,16.085,2,15.347,B,1.0
2015-08-10,up,16.517,2,15.603,N,0.0
2015-08-11,up,17.019,3,15.721,N,0.0
2015-08-12,up,17.314,4,15.848,T,1.0
2015-08-13,down,15.917,2,14.265,B,1.0
2015-08-14,up,17.196,2,15.101,T,1.0
2015-08-19,down,14.55,2,12.946,N,0.0
2015-08-21,down,13.232,3,12.179,N,0.0
2015-08-24,down,11.431,4,10.959,N,0.0
2015-08-25,down,9.887,5,8.883,N,0.0
2015-08-27,down,9.297,6,8.155,B,1.0
2015-08-28,up,10.064,2,9.149,N,0.0
2015-08-31,up,10.802,3,9.621,T,1.0
2015-09-01,down,10.271,2,9.051,N,0.0
2015-09-02,down,9.1,3,8.195,B,1.0
2015-09-08,up,9.533,2,8.46,N,0.0
2015-09-09,up,10.074,3,9.385,N,0.0
2015-09-10,up,10.566,4,9.592,N,0.0
2015-09-14,up,11.323,5,10.192,T,1.0
2015-09-15,down,10.084,2,9.208,B,1.0
2015-09-17,up,11.422,2,10.192,N,0.0
2015-09-18,up,11.608,3,10.92,N,0.0
2015-09-24,up,12.484,4,11.215,T,1.0
2015-09-25,down,11.412,2,10.251,N,0.0
2015-09-28,down,10.457,3,10.015,N,0.0
2015-09-30,down,10.349,4,9.897,B,1.0
2015-10-08,up,10.9,2,10.33,N,0.0
2015-10-09,up,11.067,3,10.566,N,0.0
2015-10-12,up,11.49,4,10.949,N,0.0
2015-10-13,up,12.002,5,11.126,T,1.0
2015-10-14,down,11.766,2,11.117,N,0.0
2015-10-15,down,11.49,3,11.097,B,1.0
2015-10-16,up,12.346,2,11.363,N,0.0
2015-10-19,up,12.838,3,12.1,T,1.0
2015-10-20,down,12.327,2,11.048,N,0.0
2015-10-22,down,11.756,3,10.999,B,1.0
2015-10-23,up,12.759,2,11.687,N,0.0
2015-10-26,up,13.763,3,12.543,T,1.0
2015-10-27,down,12.769,2,11.717,B,1.0
2015-10-28,up,13.34,2,12.386,N,0.0
2015-10-29,up,14.088,3,12.848,N,0.0
2015-10-30,up,15.494,4,14.638,T,1.0
2015-11-02,down,14.56,2,13.369,N,0.0
2015-11-03,down,13.92,3,12.976,B,1.0
2015-11-04,up,14.265,2,13.163,N,0.0
2015-11-05,up,15.337,3,13.655,N,0.0
2015-11-06,up,15.967,4,14.619,T,1.0
2015-11-10,down,15.593,2,14.52,B,1.0
2015-11-11,up,16.242,2,14.953,T,1.0
2015-11-13,down,15.101,2,14.196,B,1.0
2015-11-17,up,15.504,2,14.727,T,1.0
2015-11-18,down,15.298,2,14.461,N,0.0
2015-11-19,down,14.894,3,14.363,B,1.0
2015-11-20,up,14.934,2,14.638,N,0.0
2015-11-23,up,15.396,3,14.658,T,1.0
2015-11-24,down,14.835,2,14.176,B,1.0
2015-11-25,up,15.209,2,14.56,N,0.0
